Anzsic,Anzsic_descriptor,Gas,Period,Data_value,Variable,Units,Magnitude 
ZGZ,Goods-producing industries,Methane,2022.06,677,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Methane,2022.09,675,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Methane,2022.12,674,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Methane,2023.03,673,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Methane,2023.06,672,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Methane,2023.09,670,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Methane,2023.12,668,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Methane,2024.03,666,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Methane,2024.06,666,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide,2010.03,4487,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide,2010.06,4276,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide,2010.09,4195,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide,2010.12,4393,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide,2011.03,4148,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide,2011.06,3730,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide,2011.09,4391,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide,2011.12,4414,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide,2012.03,4483,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide,2012.06,4968,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide,2012.09,4590,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide,2012.12,4403,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide,2013.03,4436,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide,2013.06,4854,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide,2013.09,4428,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide,2013.12,4105,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide,2014.03,4249,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide,2014.06,4266,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide,2014.09,4467,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide,2014.12,4846,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide,2015.03,4749,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide,2015.06,4117,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide,2015.09,4322,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide,2015.12,4446,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide,2016.03,4279,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide,2016.06,4124,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide,2016.09,4077,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide,2016.12,3712,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide,2017.03,3944,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide,2017.06,4368,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide,2017.09,4279,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide,2017.12,4456,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide,2018.03,4130,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide,2018.06,4101,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide,2018.09,4238,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide,2018.12,4564,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide,2019.03,4609,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide,2019.06,4285,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide,2019.09,4418,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide,2019.12,4443,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide,2020.03,4066,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide,2020.06,3862,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide,2020.09,4542,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide,2020.12,4330,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide,2021.03,4456,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide,2021.06,4824,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide,2021.09,3831,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide,2021.12,3830,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide,2022.03,4028,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide,2022.06,3866,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide,2022.09,3213,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide,2022.12,3071,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide,2023.03,3260,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide,2023.06,3093,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide,2023.09,3674,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide,2023.12,3566,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide,2024.03,3342,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide,2024.06,3679,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide equivalents,2010.03,5456,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide equivalents,2010.06,5247,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide equivalents,2010.09,5154,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide equivalents,2010.12,5352,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide equivalents,2011.03,5098,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide equivalents,2011.06,4664,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide equivalents,2011.09,5322,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide equivalents,2011.12,5337,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide equivalents,2012.03,5404,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide equivalents,2012.06,5893,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide equivalents,2012.09,5511,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide equivalents,2012.12,5325,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide equivalents,2013.03,5355,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide equivalents,2013.06,5785,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide equivalents,2013.09,5353,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide equivalents,2013.12,5030,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide equivalents,2014.03,5185,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide equivalents,2014.06,5201,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide equivalents,2014.09,5418,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide equivalents,2014.12,5801,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide equivalents,2015.03,5707,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide equivalents,2015.06,5078,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide equivalents,2015.09,5277,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide equivalents,2015.12,5398,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide equivalents,2016.03,5225,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide equivalents,2016.06,5069,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide equivalents,2016.09,5011,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide equivalents,2016.12,4640,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide equivalents,2017.03,4876,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide equivalents,2017.06,5308,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide equivalents,2017.09,5221,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide equivalents,2017.12,5410,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide equivalents,2018.03,5092,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide equivalents,2018.06,5071,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide equivalents,2018.09,5213,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide equivalents,2018.12,5521,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide equivalents,2019.03,5546,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide equivalents,2019.06,5213,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide equivalents,2019.09,5338,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide equivalents,2019.12,5360,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide equivalents,2020.03,4989,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide equivalents,2020.06,4797,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide equivalents,2020.09,5479,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide equivalents,2020.12,5284,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide equivalents,2021.03,5440,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide equivalents,2021.06,5817,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide equivalents,2021.09,4815,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide equivalents,2021.12,4811,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide equivalents,2022.03,4998,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide equivalents,2022.06,4824,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide equivalents,2022.09,4156,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide equivalents,2022.12,4011,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide equivalents,2023.03,4195,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide equivalents,2023.06,4025,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide equivalents,2023.09,4598,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide equivalents,2023.12,4485,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide equivalents,2024.03,4258,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Carbon dioxide equivalents,2024.06,4594,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Fluorinated gases,2010.03,66,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Fluorinated gases,2010.06,67,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Fluorinated gases,2010.09,67,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Fluorinated gases,2010.12,68,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Fluorinated gases,2011.03,69,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Fluorinated gases,2011.06,70,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Fluorinated gases,2011.09,72,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Fluorinated gases,2011.12,74,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Fluorinated gases,2012.03,76,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Fluorinated gases,2012.06,78,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Fluorinated gases,2012.09,80,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Fluorinated gases,2012.12,82,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Fluorinated gases,2013.03,85,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Fluorinated gases,2013.06,88,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Fluorinated gases,2013.09,91,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Fluorinated gases,2013.12,93,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Fluorinated gases,2014.03,96,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Fluorinated gases,2014.06,101,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Fluorinated gases,2014.09,107,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Fluorinated gases,2014.12,113,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Fluorinated gases,2015.03,122,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Fluorinated gases,2015.06,127,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Fluorinated gases,2015.09,128,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Fluorinated gases,2015.12,125,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Fluorinated gases,2016.03,120,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Fluorinated gases,2016.06,116,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Fluorinated gases,2016.09,116,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Fluorinated gases,2016.12,118,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Fluorinated gases,2017.03,123,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Fluorinated gases,2017.06,132,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Fluorinated gases,2017.09,142,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Fluorinated gases,2017.12,155,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Fluorinated gases,2018.03,170,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Fluorinated gases,2018.06,179,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Fluorinated gases,2018.09,179,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Fluorinated gases,2018.12,174,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Fluorinated gases,2019.03,160,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Fluorinated gases,2019.06,152,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Fluorinated gases,2019.09,149,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Fluorinated gases,2019.12,151,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Fluorinated gases,2020.03,157,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Fluorinated gases,2020.06,168,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Fluorinated gases,2020.09,185,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Fluorinated gases,2020.12,205,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Fluorinated gases,2021.03,229,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Fluorinated gases,2021.06,245,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Fluorinated gases,2021.09,250,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Fluorinated gases,2021.12,247,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Fluorinated gases,2022.03,235,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Fluorinated gases,2022.06,227,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Fluorinated gases,2022.09,221,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Fluorinated gases,2022.12,217,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Fluorinated gases,2023.03,213,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Fluorinated gases,2023.06,211,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Fluorinated gases,2023.09,207,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Fluorinated gases,2023.12,203,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Fluorinated gases,2024.03,200,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Fluorinated gases,2024.06,197,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Nitrous oxide,2010.03,42,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Nitrous oxide,2010.06,41,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Nitrous oxide,2010.09,41,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Nitrous oxide,2010.12,42,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Nitrous oxide,2011.03,42,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Nitrous oxide,2011.06,41,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Nitrous oxide,2011.09,43,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Nitrous oxide,2011.12,43,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Nitrous oxide,2012.03,43,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Nitrous oxide,2012.06,45,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Nitrous oxide,2012.09,44,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Nitrous oxide,2012.12,44,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Nitrous oxide,2013.03,43,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Nitrous oxide,2013.06,45,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Nitrous oxide,2013.09,44,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Nitrous oxide,2013.12,43,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Nitrous oxide,2014.03,43,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Nitrous oxide,2014.06,44,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Nitrous oxide,2014.09,45,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Nitrous oxide,2014.12,46,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Nitrous oxide,2015.03,47,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Nitrous oxide,2015.06,45,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Nitrous oxide,2015.09,46,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Nitrous oxide,2015.12,47,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Nitrous oxide,2016.03,47,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Nitrous oxide,2016.06,46,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Nitrous oxide,2016.09,47,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Nitrous oxide,2016.12,47,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Nitrous oxide,2017.03,47,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Nitrous oxide,2017.06,47,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Nitrous oxide,2017.09,48,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Nitrous oxide,2017.12,48,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Nitrous oxide,2018.03,48,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Nitrous oxide,2018.06,50,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Nitrous oxide,2018.09,50,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Nitrous oxide,2018.12,51,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
ZGZ,Goods-producing industries,Nitrous oxide,2019.03,51,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
